hubspot_id,state,office_level,office_type,candidate_office,election_date,viability_score,general_election_result,general_votes_received,total_general_votes_cast
25203392265,Nevada,LOCAL,Other,East Fork Swimming Pool District Board,2024-11-05,4.0800000000,Won General,11168.0000000000,52938.0000000000
25091575088,California,LOCAL,School Board,Dos Palos-Oro Loma Joint Unified School Board,2024-11-05,2.3200000000,Lost General,122.0000000000,267.0000000000
35064198433,Alabama,CITY,City Council,Hoover City Council - Place 1,2025-08-26,1.9300000000,Lost General,null,null
23115212976,Minnesota,LOCAL,School Board,Red Wing School Board,2024-11-05,2.6800000000,Lost General,1419.0000000000,30976.0000000000
18974489949,California,Presidential,Other,President,2024-11-04,null,Not on Ballot,null,null
35998305461,North Carolina,CITY,Town Council,Wadesboro Town Council,2025-11-04,2.5300000000,Lost General,null,null
34403672143,Georgia,CITY,Mayor,Grayson City Mayor,2025-11-04,2.9900000000,Won General,null,null
35986767188,Kansas,LOCAL,School Board,"Wellsville USD 289 School Board - South, Position 6",2025-11-04,1.1500000000,Lost General,null,null
29255915349,Wisconsin,CITY,Town Council,Theresa Village Board,2025-04-01,1.3000000000,Lost General,129.0000000000,1280.0000000000
23398554122,California,CITY,City Council,Imperial City Council,2024-11-05,3.8000000000,Won General,null,null
31794833744,Michigan,CITY,City Council,Milan City Council,2025-11-04,2.6800000000,Lost General,null,null
32787913035,Oregon,LOCAL,Other,Blue Mountain Translator District,2025-05-20,5.0000000000,Won General,875.0000000000,876.0000000000
39624093071,South Carolina,CITY,City Council,Goose Creek City Council,2025-11-04,1.7600000000,Lost General,500.0000000000,7554.0000000000
33361476706,Oregon,LOCAL,Other,Klamath Community College Board - Zone 7,2025-05-20,3.5600000000,Won General,2905.0000000000,5203.0000000000
38124017441,Massachusetts,LOCAL,School Board,Waltham School Committee,2025-11-04,2.2100000000,Won General,4213.0000000000,7453.0000000000
40777070343,Iowa,CITY,City Council,Oxford Junction City Council,2025-11-04,4.0200000000,Lost General,null,null
34902261606,Washington,CITY,City Council,Redmond City Council - Position 6,2025-11-04,1.0800000000,Won General,null,null
31651929687,Massachusetts,CITY,null,Oxford Town Select Board,2025-05-20,2.6700000000,Not on Ballot,null,null
35855155716,Ohio,CITY,Clerk/Treasurer,Rocky River Municipal Clerk of Court,2025-11-04,0.8500000000,Lost General,null,null
36382411576,Michigan,CITY,City Council,Hazel Park City Council,2025-11-04,3.8800000000,Won General,null,null
22658952223,Texas,LOCAL,School Board,Canutillo Independent School Board,2024-11-05,3.6200000000,Won General,4041.0000000000,28791.0000000000
32865125492,Mississippi,CITY,Mayor,Anguilla Town Mayor,2025-06-03,1.4300000000,Lost General,71.0000000000,313.0000000000
36769452639,Michigan,CITY,City Council,Fraser City Council,2025-11-04,3.3200000000,Won General,1136.0000000000,5821.0000000000
23166291751,Minnesota,LOCAL,School Board,Gibbon-Fairfax-Winthrop School Board - Winthrop District,2024-11-05,4.9900000000,Won General,2489.0000000000,2550.0000000000
43256768850,Massachusetts,CITY,null,Taunton City Council,2025-11-04,3.5800000000,Won General,null,null
23945684843,District Of Columbia,CITY,City Council,District of Columbia Advisory Neighborhood Commission - District 1B06,2024-11-05,4.9900000000,Won General,656.0000000000,707.0000000000
40793750339,Minnesota,CITY,City Council,Bloomington City Council - At Large,2025-11-04,1.9300000000,Lost General,1325.0000000000,16165.0000000000
38586227523,Massachusetts,CITY,City Council,Lawrence City Council - District B,2025-11-04,1.7700000000,Lost General,null,null
40724061582,Iowa,CITY,Mayor,Albion City Mayor,2025-11-04,null,Lost General,null,null
21841902185,Arizona,CITY,City Council,Tombstone City Council - Ward 3,2024-11-05,2.5000000000,Won General,48.0000000000,91.0000000000
29343967119,Illinois,Local,Utilities Commissioner,"Ela Area Public Library, Dist Trustee",2025-04-01,3.6300000000,Lost General,1593.0000000000,11475.0000000000
38127815219,New York,CITY,null,New York City Mayor,2025-11-04,0.9800000000,Not on Ballot,null,null
22579555642,North Carolina,LOCAL,Utilities Commissioner,Franklin Soil and Water Conservation District Board,2024-11-05,1.5000000000,Lost General,8393.0000000000,31840.0000000000
39624391853,Virginia,LOCAL,School Board,Henry County School Board - Collinsville,2025-11-04,null,Won General,null,null
21272883230,Utah,FEDERAL,Congressional,U.S. House of Representatives - Utah 4th Congressional District,2024-11-05,0.0600000000,Lost General,5057.0000000000,322820.0000000000
32719752766,Oregon,LOCAL,Other,Roseburg Urban Sanitary District Board - Position 1,2025-05-20,4.9900000000,Won General,17.0000000000,17.0000000000
37022831502,Washington,CITY,City Council,Mercer Island City Council - Position 2,2025-11-04,2.3900000000,Won General,null,null
36653323348,Ohio,LOCAL,School Board,Groveport Madison Local School Board,2025-11-04,1.4100000000,Won General,null,null
38433950576,Virginia,LOCAL,School Board,Madison County School Board,2025-11-04,2.6600000000,Won General,2594.0000000000,10593.0000000000
19794670463,Florida,LOCAL,School Board,Brevard County School Board - District 4,2024-11-05,3.4500000000,Lost General,28406.0000000000,70504.0000000000
31314743361,Wisconsin,LOCAL,Clerk/Treasurer,Buffalo County: Nelson Town Clerk,2025-04-01,5.0000000000,Won General,null,null
32792570957,Oregon,LOCAL,Other,Amity Fire District: Position 5,2025-05-20,5.0000000000,Won General,404.0000000000,409.0000000000
23803984763,Kentucky,CITY,City Council,Cave City Council,2024-11-05,4.0700000000,Won General,319.0000000000,2581.0000000000
36893795096,Utah,CITY,City Council,Cottonwood Heights City Council - District 4,2025-11-04,0.9700000000,Lost General,null,null
28961007797,Massachusetts,CITY,City Council,Springfield City Council - At Large,2025-11-04,1.0600000000,Lost General,4291.0000000000,41273.0000000000
22510731643,Washington,LOCAL,Utilities Commissioner,Pacific County Public Utility Board - District 2,2024-11-05,1.7900000000,Won General,3491.0000000000,10124.0000000000
37778949454,North Carolina,CITY,Town Council,Grimesland Town Council,2025-11-04,2.5300000000,Lost General,null,null
35827198023,Virginia,COUNTY,Other,Norton City Revenue Commissioner,2025-11-04,2.1600000000,Lost General,null,null
39266632449,Connecticut,CITY,null,New Fairfield Town Selectman,2025-11-04,null,Lost General,null,null
36907216721,Georgia,CITY,null,Atlanta City Mayor,2025-11-04,1.6500000000,Not on Ballot,null,null
36561322538,Utah,CITY,City Council,Clinton City Council,2025-11-04,1.3100000000,Lost General,null,null
33364728965,Oregon,LOCAL,School Board,Lake Oswego 7J School Board - Seat 3,2025-05-20,5.0000000000,Won General,null,null
23049499235,California,CITY,City Council,Suisun City Council,2024-11-05,3.8000000000,Won General,4981.0000000000,14030.0000000000
39698397976,Idaho,CITY,City Council,Hansen City Council,2025-11-04,2.9900000000,Won General,null,null
32037974433,Texas,CITY,City Council,Highland Village City Council - Place 5,2025-05-03,5.0000000000,Won General,null,null
22127628083,Florida,LOCAL,School Board,Lee County School Board - District 2,2024-11-05,1.4600000000,Lost General,9665.0000000000,22325.0000000000
39291895677,North Carolina,CITY,Town Council,Madison Town Council,2025-11-04,2.5300000000,Lost General,null,null
23100065299,District Of Columbia,CITY,City Council,District of Columbia Advisory Neighborhood Commission - District 1E05,2024-11-05,0.9400000000,Not on Ballot,null,null
31368290978,Wisconsin,LOCAL,School Board,Phillips School Board - Area 2,2025-04-01,1.7700000000,Won General,1337.0000000000,2565.0000000000
22027922053,Tennessee,STATE,State House,Tennessee House of Representatives - District 28,2024-11-05,0.2000000000,Lost General,5933.0000000000,23643.0000000000
41421476398,Colorado,CITY,City Council,Lakewood City Council - Ward 4,2025-11-04,null,Lost General,null,null
38791577526,New York,TOWNSHIP,Other,Byron Town Highway Superintendent,2025-11-04,1.2300000000,Lost General,null,null
34931434821,Washington,CITY,City Council,Everett City Council - Position 4,2025-11-04,1.0300000000,Lost General,497.0000000000,1503.0000000000
31202121340,New York,CITY,null,New York City Mayor,2025-11-04,0.9800000000,Not on Ballot,null,null
34931434821,Washington,CITY,City Council,Everett City Council - Position 4,2025-11-04,1.0300000000,Lost General,497.0000000000,1503.0000000000
19584001139,Alaska,COUNTY,Mayor,Anchorage Municipal Mayor,2024-04-02,0.4900000000,Lost General,92.0000000000,44427.0000000000
36779571622,Utah,CITY,City Council,Woods Cross City Council,2025-11-04,0.9700000000,Won General,null,null
42347470364,Iowa,CITY,City Council,Sanborn City Council,2025-11-04,2.6100000000,Lost General,105.0000000000,698.0000000000
23060276810,Rhode Island,CITY,Town Council,Foster Town Council,2024-11-05,0.8100000000,Lost General,855.0000000000,12534.0000000000
22448124756,Indiana,LOCAL,School Board,Goshen School Board - At Large,2024-11-05,1.7300000000,Lost General,412.0000000000,1421.0000000000
