hubspot_id,election_date,state,office_level,office_type,n_outreach_rows,viability_score_mean,viability_score_max,latest_outreach,Win,proba_win,pred_win,viability_score_model,viability_bucket_model,viability_bucket_num,viability_bucket_orig,viability_bucket_orig_num,bucket_distance
23936350988,2024-11-05,Kentucky,LOCAL,Utilities Commissioner,1,5.0,5.0,,1,0.8672118657682152,1,4.336059328841076,Frontrunner,5,,0,5
38808501401,2025-11-04,Ohio,CITY,Town Council,1,3.07,3.07,,0,0.6853332052509239,1,3.4266660262546194,Likely to Win,4,Likely to Win,4,0
33279634541,2025-05-20,Oregon,LOCAL,Other,1,4.99,4.99,,1,0.7901964637530015,1,3.950982318765007,Likely to Win,4,Frontrunner,5,1
33029866024,2025-05-06,Montana,LOCAL,School Board,1,4.99,4.99,,1,0.6839000455635718,1,3.419500227817859,Likely to Win,4,Frontrunner,5,1
45347604406,2025-12-09,New York,,,1,,,,0,0.057683903563822865,0,0.28841951781911435,No Chance,1,,0,1
33407045015,2025-05-20,Oregon,County,Other,1,5.0,5.0,,1,0.7473803693647147,1,3.7369018468235735,Likely to Win,4,,0,4
34704947864,2025-11-04,New York,CITY,Mayor,1,0.12,0.12,,0,0.3047215231776902,0,1.523607615888451,Unlikely to Win,2,No Chance,1,1
22509167754,2024-11-05,California,CITY,Clerk/Treasurer,1,2.36,2.36,,1,0.5485711879887439,1,2.74285593994372,Has a Chance,3,Has a Chance,3,0
36768404130,2025-11-04,Montana,CITY,City Council,1,1.42,1.42,,0,0.5182358717915151,1,2.5911793589575756,Has a Chance,3,Unlikely to Win,2,1
33501231668,2025-05-19,Massachusetts,CITY,,1,4.99,4.99,,1,0.2889802459564114,0,1.4449012297820572,Unlikely to Win,2,Frontrunner,5,3
36398312005,2025-11-04,Utah,CITY,City Council,1,2.72,2.72,,1,0.4272228083775104,0,2.136114041887552,Has a Chance,3,Has a Chance,3,0
28187573266,2025-04-01,Illinois,LOCAL,School Board,1,2.42,2.42,,1,0.5494798161917913,1,2.7473990809589566,Has a Chance,3,Has a Chance,3,0
38673949570,2025-11-04,Kansas,CITY,City Council,1,1.43,1.43,,1,0.607255430485925,1,3.036277152429625,Likely to Win,4,Unlikely to Win,2,2
25034142090,2024-11-05,Michigan,LOCAL,School Board,1,1.52,1.52,,0,0.5357264874731097,1,2.6786324373655486,Has a Chance,3,Unlikely to Win,2,1
31880616776,2025-05-03,Texas,CITY,City Council,1,3.5,3.5,,0,0.38262077205458694,0,1.9131038602729347,Unlikely to Win,2,Likely to Win,4,2
