hubspot_id,state,office_level,office_type,n_outreach_rows,Win,most_common_outreach_type,election_month,is_midterm,is_presidential,days_between_outreach_and_election,is_normal_election,election_dow_mon,election_dow_tue,election_dow_wed,election_dow_thu,election_dow_fri,election_dow_sat,election_dow_sun
31834842641,Texas,LOCAL,School Board,1,1,,5.0,0,0,99999,0,0,0,0,0,0,1,0
38578491500,Ohio,TOWNSHIP,Town Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
31288812939,Missouri,CITY,City Council,1,0,,4.0,0,0,99999,0,0,1,0,0,0,0,0
25029778190,Minnesota,LOCAL,School Board,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
31865156010,Texas,CITY,Mayor,1,0,,5.0,0,0,99999,0,0,0,0,0,0,1,0
21948317270,Arizona,CITY,City Council,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
39276036521,Georgia,CITY,City Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
25110630971,New Jersey,LOCAL,School Board,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
40062473392,New Jersey,LOCAL,School Board,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
23373702163,Minnesota,LOCAL,Town Council,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
23477227337,Iowa,COUNTY,Utilities Commissioner,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
32117109786,Texas,CITY,City Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
39247930744,New Hampshire,CITY,City Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
37527358536,Ohio,CITY,,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
38234066967,Alabama,CITY,City Council,1,1,,8.0,0,0,99999,0,0,1,0,0,0,0,0
23620609958,South Carolina,LOCAL,School Board,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
22979087898,Virginia,CITY,Town Council,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
39226482184,North Carolina,Local,City Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
25070433315,Indiana,LOCAL,School Board,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
29994781234,Mississippi,CITY,Mayor,1,1,,6.0,0,0,99999,0,0,1,0,0,0,0,0
42288119834,New Hampshire,CITY,City Council,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
22983160214,Kentucky,CITY,City Council,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
30005209167,New York,,,1,0,,2.0,0,0,99999,0,0,0,0,0,0,0,1
39262212360,New York,CITY,,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
25070441227,California,LOCAL,School Board,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
36688209787,Iowa,LOCAL,School Board,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
31616610603,Wisconsin,LOCAL,City Council,1,1,,4.0,0,0,99999,0,0,1,0,0,0,0,0
32154210627,Oregon,LOCAL,School Board,1,1,,5.0,0,0,99999,0,0,1,0,0,0,0,0
22306839886,North Carolina,LOCAL,Utilities Commissioner,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
32594098276,Texas,CITY,City Council,1,0,,5.0,0,0,99999,0,0,0,0,0,0,1,0
39179811446,Pennsylvania,CITY,,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
